permid	nextpermid	citypermid	papername_constant	dateestab	polaff	when	nonpol	min_year	max_year
1	 	434	INDEPENDENT	1866	D	m	0	1869	1869
2	 	434	DEMOCRAT	1868	D	e	0	1869	1872
3	 	15	EVENING NEWS	 	D	ad	0	1869	1869
4	 	15	TRIBUNE	1828	D	ad	0	1869	1876
5	 	15	REGISTER	1813	D	m	0	1869	2004
6	 	435	MAIL	 	D	m	0	1869	1869
7	 	435	ALABAMA STATE JOURNAL	1867	R	e	0	1869	1876
8	 	435	ADVERTISER	1828	D	ad	0	1869	2004
9	1404	436	TIMES	1825	D	m	0	1869	1884
10	 	437	MORNING REPUBLICAN	1867	 	m	0	1869	1872
11	7646	437	ARKANSAS GAZETTE	1819	D	m	0	1869	1988
12	 	32	UNION	1864	D	ad	0	1869	2004
13	 	32	NATIONAL	1857	D	ad	0	1869	1872
14	 	438	NEWS	1858	D	ad	0	1869	1872
15	6089	37	APPEAL	1859	R	m	0	1869	1928
16	 	32	GAZETTE	1863	R	m	0	1869	1869
17	4021	32	TRANSCRIPT	1860	R	m	0	1869	1904
18	 	439	TRANSCRIPT	1868	D	m	0	1869	1876
19	 	439	NEWS	1863	R	m	0	1869	1876
20	 	440	BEE	1857	R	e	0	1869	2004
21	 	440	REPORTER	1868	D	m	0	1869	1872
22	534	440	RECORD	1867	R	m	0	1869	1872
23	534	440	UNION	1851	R	m	0	1869	1872
24	 	304	DRAMATIC REVIEW	1860	 	m	0	1869	1869
25	 	304	COURIER	1852	I	m	0	1869	1869
26	 	304	TIMES	1866	I	m	0	1869	1869
27	 	304	INDEPENDENT DISPATCH	1867	D	e	0	1869	1869
28	 	304	FIGARO	1865	 	ad	1	1869	1896
29	 	304	ABEND POST	1859	R	e	0	1869	1880
30	 	304	Examiner	1865	D	e	0	1869	2004
31	 	304	CALIFORNIA DEMOKRAT	1852	D	m	0	1869	1880
32	 	304	ALTA CALIFORNIA	1848	D	m	0	1869	1888
33	 	304	CHRONICLE	1865	R	ad	0	1869	2004
34	4909	304	MORNING CALL	1856	R	m	0	1869	1912
35	 	304	EVENING BULLETIN	1855	R	e	0	1869	1896
36	 	441	ARGUS	1868	D	ad	0	1869	1869
37	 	441	PATRIOT	1863	R	e	0	1869	1876
38	 	442	GAZETTE	1866	D	e	0	1869	1869
39	 	442	INDEPENDENT	1858	R	ad	0	1869	1940
40	 	442	EVENING HERALD	1865	D	e	0	1869	1884
41	 	443	REGISTER	1862	R	m	0	1869	1888
42	 	443	COLORADO HERALD	1871	D	e	0	1869	1872
43	 	444	TIMES	1871	R	m	0	1869	1924
44	 	444	GAZETTE	 	D	ad	0	1869	1869
45	6106	444	ROCKY MOUNTAIN NEWS	1859	D	e	0	1869	1928
46	 	444	TRIBUNE	1867	R	m	0	1869	1884
47	5247	51	STANDARD	1854	R	e	0	1869	1916
48	 	51	EVENING FARMER	1854	D	e	0	1869	1916
49	 	445	COURANT	1764	R	m	0	1869	2004
50	 	445	TIMES	1841	D	e	0	1869	1976
51	 	445	POST	1856	R	e	0	1869	1920
52	 	310	RAILWAY COURANT	 	 	ad	0	1869	1869
53	 	310	Register	1812	D	e	0	1869	2004
54	 	310	Journal-Courier	1832	R	m	0	1869	1984
55	 	310	PALLADIUM	1829	R	m	0	1869	1908
56	 	446	STAR	1847	R	e	0	1869	1872
57	 	447	ADVERTISER	1867	D	m	0	1869	1872
58	 	447	Bulletin	1858	R	m	0	1869	2004
59	7656	448	AMERICAN	1866	R	m	0	1869	1988
60	 	311	MERIDEN REPUBLICAN	1867	R	m	0	1869	1880
61	786	449	COMMERCIAL	1866	R	e	0	1869	1876
62	 	450	EVENING EXPRESS	 	 	e	0	1869	1869
63	 	450	EVENING UNION	1861	D	e	0	1869	1869
64	 	450	CHRONICLE	1861	R	m	0	1869	1876
65	 	450	Star	1852	R	e	0	1869	1980
66	 	450	GLOBE	 	 	ad	0	1869	1872
67	 	450	NATIONAL INTELLIGENCER	1800	 	m	0	1869	1896
68	 	450	NATIONAL REPUBLICAN	1860	R	m	0	1869	1884
69	 	451	INTELLIGENCER	1848	D	ad	0	1869	1869
70	 	451	NEW ERA	1866	R	m	0	1869	1869
71	7752	451	Constitution	1868	D	ad	0	1869	2000
72	 	452	PRESS	 	I	m	0	1869	1869
73	795	452	CHRONICLE AND SENTINEL	1794	D	m	0	1869	1876
74	795	452	CONSTITUTIONALIST	1799	D	m	0	1869	1876
75	 	453	SUN	 	D	m	0	1869	1872
76	 	453	ENQUIRER	1828	D	m	0	1869	1892
77	7515	454	Telegraph	1848	D	m	0	1872	1980
78	77	454	JOURNAL AND MESSENGER	1808	D	m	0	1869	1869
79	77	454	TELEGRAPH	1863	D	m	0	1869	1869
80	 	455	ADVERTISER	1866	 	m	0	1869	1872
81	 	455	REPUBLICAN	1802	D	m	0	1869	1872
82	 	455	News	1850	D	m	0	1869	2004
83	 	68	SENTINEL-DEMOCRAT	1874	D	e	0	1869	1908
84	 	68	TELEGRAPH	1836	R	e	0	1869	2004
85	 	456	STERN DES WESTENS	1860	R	e	0	1869	1880
86	 	69	PANTAGRAPH	1857	R	m	0	1869	2004
87	 	457	TIMES	1866	 	m	0	1869	1869
88	6136	457	BULLETIN	1868	D	e	0	1869	1928
89	 	458	EVENING RECORD	1861	 	e	0	1869	1869
90	 	458	MUSEUM AND HOTEL REGISTER	1863	 	e	0	1869	1869
91	 	458	PROGRAMME	1861	 	m	1	1869	1869
92	 	458	UNION	1855	D	ad	0	1869	1876
93	 	458	ILLINOIS STAATS-ZEITUNG	1847	R	m	0	1872	1880
94	93	458	ILLINOIS STAATS ZEITUNG	1847	R	ad	0	1869	1869
95	93	458	ABEND ZEITUNG	 	 	ad	0	1869	1869
96	 	458	REPUBLICAN	1865	I	ad	0	1869	1872
97	2489	458	TIMES	1854	D	m	0	1869	1892
98	 	458	TRIBUNE	1847	R	m	0	1869	2004
99	 	458	EVENING JOURNAL	1844	R	e	0	1869	1896
100	561	458	EVENING POST	 	R	e	0	1869	1872
101	 	459	MAGNET	1868	D	e	0	1869	1872
102	 	460	GAZETTE	1848	R	e	0	1869	1952
103	7524	461	JOURNAL	1866	R	m	0	1869	1980
104	3097	462	TRANSCRIPT	1855	R	m	0	1869	1896
105	 	462	NATIONAL DEMOCRAT	1865	D	m	0	1869	1888
106	5575	463	JOURNAL	1883	D	e	0	1869	1920
107	5867	463	HERALD	1849	D	m	0	1869	1924
108	5575	463	WHIG	1838	R	m	0	1869	1920
109	 	463	TRIBUNE	1858	R	e	0	1869	1872
110	5577	77	UNION	1862	R	m	0	1869	1920
111	5577	77	ARGUS	1851	D	e	0	1869	1920
112	6147	237	ILLINOIS STATE REGISTER	1848	D	e	0	1869	1928
113	6147	237	ILLINOIS STATE JOURNAL	1845	R	m	0	1869	1928
114	 	318	OPERA BULLETIN	 	 	m	0	1869	1869
115	 	318	DEMOCRAT	1864	D	m	0	1869	1869
116	 	318	UNION	1851	R	e	0	1869	1876
117	3647	318	JOURNAL	1831	R	m	0	1869	1900
118	7731	318	COURIER	1845	D	m	0	1869	1996
119	 	464	DEMOCRAT	1866	D	e	0	1869	1869
120	3120	464	GAZETTE	1863	R	e	0	1869	1896
121	 	319	MIRROR	1867	I	e	0	1869	1869
122	 	319	SENTINEL	1821	D	m	0	1869	1904
123	 	319	COMMERCIAL	 	R	e	0	1869	1872
124	 	319	TELEGRAPH	1865	R	m	0	1869	1876
125	 	319	JOURNAL	1823	R	m	0	1869	1904
126	5586	88	JOURNAL	1829	R	m	0	1869	1920
127	5586	88	COURIER	1849	R	e	0	1869	1920
128	 	465	COURIER	1837	R	e	0	1869	2004
129	 	410	COMMERCIAL	1844	R	m	0	1869	1869
130	579	410	LEDGER	1837	D	e	0	1869	1872
131	 	324	JOURNAL	1855	D	m	0	1869	1876
132	 	324	EXPRESS	1851	R	m	0	1869	1900
133	 	466	HAWK-EYE	1839	R	m	0	1869	1876
134	3148	466	GAZETTE	1837	D	m	0	1869	1896
135	 	467	BUGLE	1849	D	e	0	1869	1869
136	 	467	NONPAREIL	1857	R	m	0	1869	2004
137	 	93	GAZETTE	1854	R	m	0	1869	1896
138	4108	93	DEMOCRAT	1855	D	e	0	1869	1904
139	 	93	DEMOKRAT	1851	R	m	0	1869	1880
140	3682	325	IOWA STATE REGISTER	1861	R	m	0	1869	1900
141	 	325	IOWA STATESMAN	1835	D	m	0	1869	1869
142	3683	94	HERALD	1853	D	m	0	1869	1900
143	4109	94	TIMES	1856	R	m	0	1869	1904
144	5300	468	GATE CITY	1854	R	m	0	1869	1916
145	1547	468	CONSTITUTION	1852	D	m	0	1869	1884
146	 	469	COURIER	1861	D	m	0	1869	1869
147	5302	469	JOURNAL	1855	R	e	0	1869	1916
148	 	470	COURIER	1848	R	e	0	1869	2004
149	 	471	CHAMPION	1865	R	m	0	1869	1916
150	 	471	PATRIOT	1867	D	m	0	1869	1892
151	4593	472	JOURNAL	1866	R	e	0	1869	1908
152	 	472	TRIBUNE	1854	R	ad	0	1869	1888
153	 	472	KANSAS STATE JOURNAL	1865	R	m	0	1869	1869
154	 	243	BULLETIN	1862	R	e	0	1869	1869
155	 	243	TIMES	1857	R	m	0	1869	2004
156	 	243	COMMERCIAL	1866	D	m	0	1869	1876
157	 	244	COMMONWEALTH	1869	R	m	0	1869	1888
158	 	473	DEMOCRAT	 	 	ad	0	1869	1869
159	 	473	SUN	1868	D	e	0	1869	1869
160	 	473	COURIER-JOURNAL	1868	D	m	0	1869	2004
161	 	473	VOLKSBLATT	1861	R	m	0	1869	1880
162	 	473	ANZEIGER	1849	D	m	0	1869	1880
163	 	474	KENTUCKIAN	 	D	m	0	1869	1872
164	 	331	CRESCENT	1851	D	m	0	1869	1869
165	 	331	REPUBLICAN	1867	R	e	0	1869	1876
166	 	331	BEE	1827	D	m	0	1869	1872
167	1150	331	TIMES	1863	D	m	0	1869	1880
168	 	331	DEUTSCHE ZEITUNG	1847	I	ad	0	1869	1880
169	5008	331	PICAYUNE	1837	D	m	0	1869	1912
170	 	475	SOUTH WESTERN	1868	D	m	0	1869	1872
171	 	100	WHIG AND COURIER	1834	R	m	0	1869	1900
172	 	101	TIMES	1861	R	m	0	1869	2004
173	7666	102	Journal	1861	R	e	0	1869	1988
174	4611	476	ADVERTISER	1831	R	ad	0	1869	1908
175	 	476	EASTERN ARGUS	1835	D	m	0	1869	1920
