recid	adpricetype	adprice	adDepth	adType
1880010001	0	3.75	 	 
1880010002	0	3	 	 
1880010003	0	2.83	 	 
1880010004	0	3.34	 	 
1880010005	0	3.34	 	 
1880010006	0	3.12	 	 
1880010007	0	2.92	 	 
1880010008	0	5	 	 
1880010009	0	3.34	 	 
1880010010	0	3.34	 	 
1880010011	0	3.33	 	 
1880010012	0	3.34	 	 
1880010013	0	2.5	 	 
1880010014	0	6.25	 	 
1880010015	0	5.55	 	 
1880010016	0	3	 	 
1880010017	0	2.92	 	 
1880010018	0	4.17	 	 
1880010019	0	3.34	 	 
1880010020	0	7.09	 	 
1880010021	0	4.38	 	 
1880010022	0	4.38	 	 
1880010023	0	3	 	 
1880010024	0	3.34	 	 
1880010025	0	16.87	 	 
1880010026	0	16.87	 	 
1880010027	0	16.87	 	 
1880010028	0	22.5	 	 
1880010029	0	32.5	 	 
1880010030	0	7	 	 
1880010031	0	22.5	 	 
1880010032	0	16.87	 	 
1880010033	0	4.17	 	 
1880010034	0	4	 	 
1880010035	0	4	 	 
1880010036	0	4	 	 
1880010037	0	3.34	 	 
1880010038	0	3.34	 	 
1880010039	0	3.34	 	 
1880010040	0	3.34	 	 
1880010041	0	4	 	 
1880010042	0	2.5	 	 
1880010043	0	4.17	 	 
1880010044	0	4.17	 	 
1880010045	0	4.17	 	 
1880010046	0	4.17	 	 
1880010047	0	3.13	 	 
1880010048	0	4.17	 	 
1880010049	0	3.96	 	 
1880010050	0	6.04	 	 
1880010051	0	8.32	 	 
1880010052	0	13	 	 
1880010053	0	10.5	 	 
1880010054	0	4	 	 
1880010055	0	5	 	 
1880010056	0	5	 	 
1880010057	0	5	 	 
1880010058	0	7	 	 
1880010059	0	7	 	 
1880010060	0	7	 	 
1880010061	0	7	 	 
1880010062	0	3	 	 
1880010063	0	13.5	 	 
1880010064	0	4.17	 	 
1880010066	0	4.17	 	 
1880010067	0	6.67	 	 
1880010068	0	6.67	 	 
1880010069	0	6.67	 	 
1880010070	0	4.17	 	 
1880010071	0	8.33	 	 
1880010072	0	8.33	 	 
1880010073	0	8.33	 	 
1880010074	0	8.33	 	 
1880010076	0	5	 	 
1880010077	0	5	 	 
1880010078	0	4.17	 	 
1880010079	0	3.43	 	 
1880010080	0	7	 	 
1880010081	0	3.43	 	 
1880010082	0	7	 	 
1880010083	0	7	 	 
1880010084	0	6.5	 	 
1880010085	0	6.5	 	 
1880010086	0	3.5	 	 
1880010087	0	3.5	 	 
1880010088	0	6.5	 	 
1880010089	0	6	 	 
1880010090	0	4.17	 	 
1880010091	0	4.17	 	 
1880010092	0	3.34	 	 
1880010093	0	4.17	 	 
1880010094	0	4.17	 	 
1880010095	0	7.5	 	 
1880010096	0	4.17	 	 
1880010097	0	7.5	 	 
1880010098	0	24.7	 	 
1880010099	0	10	 	 
1880010100	0	26	 	 
1880010101	0	24.7	 	 
1880010102	0	8	 	 
1880010103	0	8	 	 
