citypermid	cityname_constant	cnty90	state
1	LAGRANGE	13285	GEORGIA
2	ELDORADO	17165	ILLINOIS
4	EL DORADO	20015	KANSAS
5	NORTH ATTLEBOROUGH	25005	MASSACHUSETTS
6	ST. MARY'S	39011	OHIO
7	DUBOIS	42033	PENNSYLVANIA
9	NEW CASTLE	42073	PENNSYLVANIA
10	PHILIPSBURG	42027	PENNSYLVANIA
11	POTTSTOWN	42091	PENNSYLVANIA
12	ST. MARY'S	42047	PENNSYLVANIA
14	FLORENCE-SHEFFIELD-TUSCUMBIA-MUSCLE SHOALS	1077	ALABAMA
15	MOBILE-PRICHARD-CHICKASAW	1097	ALABAMA
16	OPELIKA-AUBURN	1081	ALABAMA
17	TALLADEGA-SYLACAUGA	1121	ALABAMA
18	TUSCALOOSA-NORTHPORT	1125	ALABAMA
19	LANETT-WEST POINT	1017	ALABAMA
20	MESA-SCOTTSDALE-TEMPE	4013	ARIZONA
21	HELENA-WEST HELENA	5107	ARKANSAS
22	SPRINGDALE-ROGERS	5143	ARKANSAS
23	BANNING-BEAUMONT	6065	CALIFORNIA
24	RICHMOND-BERKELEY	6001	CALIFORNIA
25	HUNTINGTON PARK-SOUTH GATE-BELL-MAYWOOD	6037	CALIFORNIA
26	CHICO-OROVILLE	6007	CALIFORNIA
27	CULVER CITY-VENICE	6037	CALIFORNIA
28	EL CENTRO-IMPERIAL VALLEY	6025	CALIFORNIA
29	OCEANSIDE-CARLSBAD-ESCONDIDO-VISTA	6073	CALIFORNIA
30	FAIRFIELD-SUISUN	6095	CALIFORNIA
31	FREMONT-NEWARK	6001	CALIFORNIA
32	GRASS VALLEY-NEVADA CITY	6057	CALIFORNIA
33	LA HABRA-BREA	6059	CALIFORNIA
34	LANCASTER-PALMDALE	6037	CALIFORNIA
35	LIVERMORE-PLEASANTON	6001	CALIFORNIA
36	MARIN COUNTY-SAN RAFAEL	6041	CALIFORNIA
37	MARYSVILLE-YUBA CITY	6101	CALIFORNIA
38	ONTARIO-UPLAND-POMONA	6071	CALIFORNIA
39	COSTA MESA	6059	CALIFORNIA
40	SANTA ANA	6059	CALIFORNIA
41	ORANGE COUNTY	6059	CALIFORNIA
42	PALM SPRINGS-PALM DESERT	6065	CALIFORNIA
43	PALO ALTO-REDWOOD CITY	6081	CALIFORNIA
44	REDONDO BEACH-HERMOSA BEACH-MANHATTAN BEACH	6037	CALIFORNIA
45	SAN GABRIEL VALLEY-WEST COVINA	6037	CALIFORNIA
46	SAN LUIS OBISPO	6079	CALIFORNIA
47	SUNNYVALE-MOUNTAIN VIEW	6085	CALIFORNIA
48	SOUTH LAKE TAHOE	6017	CALIFORNIA
49	FORT COLLINS	8069	COLORADO
50	FORT MORGAN	8087	COLORADO
51	FAIRFIELD COUNTY-BRIDGEPORT	9001	CONNECTICUT
52	MERIDEN-WALLINGFORD	9009	CONNECTICUT
53	VERNON-ROCKVILLE	9003	CONNECTICUT
54	DOVER-LEWES	10001	DELAWARE
55	CHARLOTTE HARBOR-PORT CHARLOTTE	12015	FLORIDA
56	FORT PIERCE-PORT ST. LUCIE	12111	FLORIDA
57	FORT LAUDERDALE	12011	FLORIDA
58	FORT MYERS	12071	FLORIDA
59	HERNANDO COUNTY-BROOKSVILLE	12053	FLORIDA
60	HOMESTEAD-FLORIDA CITY	12025	FLORIDA
61	HIGHLANDS COUNTY-SEBRING	12055	FLORIDA
62	MIAMI-MIAMI BEACH	12025	FLORIDA
63	NEW SMYRNA-NEW SMYRNA BEACH	12127	FLORIDA
64	ST. PETERSBURG-CLEARWATER	12103	FLORIDA
65	WEST POINT	13285	GEORGIA
66	LEWISTON-CLARKSTON	16069	IDAHO
67	NAMPA-CALDWELL	16027	IDAHO
68	ALTON-EAST ALTON-WOOD RIVER	17119	ILLINOIS
69	BLOOMINGTON-NORMAL	17113	ILLINOIS
70	CARBONDALE-HERRIN-MURPHYSBORO	17077	ILLINOIS
71	CENTRALIA-CENTRAL CITY-WAMAC	17121	ILLINOIS
72	CHAMPAIGN-URBANA	17019	ILLINOIS
73	DEKALB-SYCAMORE	17037	ILLINOIS
74	DU QUOIN-PINCKNEYVILLE	17145	ILLINOIS
75	HOFFMAN ESTATES-SCHAUMBURG	17031	ILLINOIS
76	LA SALLE-PERU-OGLESBY-SPRING VALLEY	17099	ILLINOIS
77	MOLINE-EAST MOLINE-ROCK ISLAND	17161	ILLINOIS
78	MOUNT CARROLL	17015	ILLINOIS
79	MOUNT CARMEL	17185	ILLINOIS
80	MOUNT VERNON	17081	ILLINOIS
81	MOUNT PROSPECT-PROSPECT HEIGHTS	17031	ILLINOIS
82	PALATINE-INVERNESS	17031	ILLINOIS
83	ROCKFORD-LOVES PARK	17201	ILLINOIS
84	STERLING-ROCK FALLS	17195	ILLINOIS
85	WAUKEGAN-NORTH CHICAGO	17097	ILLINOIS
86	BLOOMINGTON-BEDFORD	18105	INDIANA
87	FRANKLIN-GREENWOOD	18081	INDIANA
88	LAFAYETTE-WEST LAFAYETTE	18157	INDIANA
89	MOUNT VERNON	18129	INDIANA
90	MUNSTER-HAMMOND-MERRILLVILLE-VALPARAISO-EAST CHICAGO	18089	INDIANA
91	SOUTH BEND-MISHAWAKA	18141	INDIANA
92	CEDAR RAPIDS-MARION	19113	IOWA
93	DAVENPORT-BETTENDORF	19163	IOWA
94	DUBUQUE-EAST DUBUQUE	19061	IOWA
95	MOUNT PLEASANT	19087	IOWA
96	WATERLOO-CEDAR FALLS-EVANSDALE	19013	IOWA
97	MORRIS COUNTY-COUNCIL GROVE	20127	KANSAS
98	OLATHE-OVERLAND PARK	20091	KANSAS
99	ALEXANDRIA-PINEVILLE	22079	LOUISIANA
100	BANGOR-BREWER	23019	MAINE
101	BATH-BRUNSWICK	23005	MAINE
102	LEWISTON-AUBURN	23001	MAINE
103	BIDDEFORD-SACO-SANFORD	23031	MAINE
104	BEVERLY-PEABODY	25009	MASSACHUSETTS
105	HYANNIS-CAPE COD	25001	MASSACHUSETTS
106	HUDSON-MARLBOROUGH	25017	MASSACHUSETTS
107	FITCHBURG-LEOMINSTER	25027	MASSACHUSETTS
108	SOUTHBRIDGE	25027	MASSACHUSETTS
109	WESTFIELD	25013	MASSACHUSETTS
110	BENTON HARBOR-ST. JOSEPH	26021	MICHIGAN
111	IRON MOUNTAIN-KINGSFORD	26043	MICHIGAN
112	MOUNT PLEASANT-ALMA	26073	MICHIGAN
113	FARIBAULT	27131	MINNESOTA
114	INTERNATIONAL FALLS	27071	MINNESOTA
115	MANKATO-NORTH MANKATO	27013	MINNESOTA
116	BILOXI-GULFPORT	28047	MISSISSIPPI
117	PASCAGOULA-MOSS POINT	28059	MISSISSIPPI
118	TUPELO	28081	MISSISSIPPI
119	FESTUS-CRYSTAL CITY	29099	MISSOURI
120	PARK HILLS-FARMINGTON	29187	MISSOURI
121	WAYNESVILLE-ST. ROBERT	29169	MISSOURI
122	BUTTE-ANACONDA	30093	MONTANA
123	ELY-EAST ELY	32033	NEVADA
124	TONOPAH	32023	NEVADA
125	CONWAY-NORTH CONWAY	33003	NEW HAMPSHIRE
126	LEBANON-HANOVER	33009	NEW HAMPSHIRE
127	BERGEN COUNTY-HACKENSACK	34003	NEW JERSEY
128	BRIDGEWATER-PLAINFIELD	34039	NEW JERSEY
129	CAMDEN-CHERRY HILL	34007	NEW JERSEY
130	MORRISTOWN-PARSIPPANY	34027	NEW JERSEY
131	NEPTUNE-ASBURY PARK	34025	NEW JERSEY
132	PASSAIC-CLIFTON	34031	NEW JERSEY
133	WOODBRIDGE-PERTH AMBOY	34023	NEW JERSEY
134	RED BANK-MIDDLETOWN-SHREWSBURY	34025	NEW JERSEY
135	TOMS RIVER-BRICK TOWNSHIP	34029	NEW JERSEY
136	WILLINGBORO-BURLINGTON	34005	NEW JERSEY
