citypermid	year	icitypop	numdailies	circ	circ_polaff_R	circ_polaff_I	circ_polaff_D	circ_polaff_none	circ_exlast	circ_exnext	miss_circ	num_when_m	num_when_e	num_when_ad	num_when_miss	num_polaff_R	num_polaff_D	num_polaff_I	num_polaff_none	num_nonpol
1	1900	 	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
1	1920	17038	1	1618	0	0	1618	0	0	0	0	1	0	0	0	0	1	0	0	0
1	1924	18445.6612371134	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
1	1928	19658.5096318115	1	2200	0	0	2200	0	0	0	0	1	0	0	0	0	1	0	0	0
1	1932	20496.1559469809	1	5400	0	0	5400	0	0	5400	0	0	1	0	0	0	1	0	0	0
1	1936	21109.9538674521	1	3843	0	0	3843	0	3843	3843	0	0	1	0	0	0	1	0	0	0
1	1940	21983	1	4389	0	0	4389	0	4389	4389	0	0	1	0	0	0	1	0	0	0
1	1944	23386.2671870398	1	4484	0	0	4484	0	4484	4484	0	0	1	0	0	0	1	0	0	0
1	1948	24684.5387923417	1	5122	0	0	5122	0	5122	5122	0	0	1	0	0	0	1	0	0	0
1	1952	25050.4528895434	1	6160	0	0	6160	0	6160	6160	0	0	1	0	0	0	1	0	0	0
1	1956	24447.8953814433	1	5937	0	0	5937	0	5937	5937	0	0	1	0	0	0	1	0	0	0
1	1960	23632	1	5790	0	0	5790	0	5790	5790	0	0	1	0	0	0	1	0	0	0
1	1964	23229.7913814433	1	6619	0	0	6619	0	6619	6619	0	0	1	0	0	0	1	0	0	0
1	1968	23218.249460972	1	8204	0	0	8204	0	8204	8204	0	0	1	0	0	0	1	0	0	0
1	1972	23416.0965066274	1	9234	0	0	9234	0	9234	9234	0	0	1	0	0	0	1	0	0	0
1	1976	23739.885472754	1	10661	0	0	10661	0	10661	10661	0	0	1	0	0	0	1	0	0	0
1	1980	24204	1	12477	0	0	12477	0	12477	12477	0	0	1	0	0	0	1	0	0	0
1	1984	24794.8521531664	1	14819	0	0	14819	0	14819	14819	0	0	1	0	0	0	1	0	0	0
1	1988	25369.9536612666	1	15063	0	0	15063	0	15063	15063	0	0	1	0	0	0	1	0	0	0
1	1992	25760.5462032401	1	15800	0	0	15800	0	15800	15800	0	0	1	0	0	0	1	0	0	0
1	1996	25934.8372371134	1	14765	0	0	14765	0	14765	14765	0	0	1	0	0	0	1	0	0	0
1	2000	25998	1	13395	0	0	13395	0	13395	13395	0	0	1	0	0	0	1	0	0	0
1	2004	 	1	13400	0	0	13400	0	13400	0	0	0	1	0	0	0	1	0	0	0
