citypermid,NHGISPLACE,STATE,NHGISST,PLACE,YEAR,GISJOIN,DECADE,NHGISNAM,NHGISST_2,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE_2,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN_2,GISJOIN2,SHAPE_AREA,SHAPE_LEN,statefips,countyfips,fips,smsacode,statefips_,countyfi_1,entityfips,name_2,namemsa,fips_2,NAME,cityname_constant,fixed_cnty_number,cnty90,state,tier
4,G200200750,kansas,200,el dorado city,1970,G2000780,1970,Butler,200,0150,32,150,BUTLER,Kansas,32,150,0,200,0150,1007,-73203.09696307,31813.45465694,G2000150,2000150,3746230669.18,246761.754489,20,015,20015,9040,20,015,NA,Butler County,"Wichita, KS SMSA",20015,el dorado,el dorado,20015,20015,kansas,all
11,G420624160,pennsylvania,420,pottstown borough,1970,G4207342,1970,Chester,420,0290,14,290,CHESTER,Pennsylvania,14,290,0,420,0290,1477,1701418.13453151,459142.37296176,G4200290,4200290,1967886858.22,250279.437033,42,029,42029,6160,42,029,NA,"Chester  County, PA","Philadelphia, PA-NJ SMSA",42029,pottstown,pottstown,42091,42091,pennsylvania,all
39,G060165320,california,060,costa mesa city,1970,G0600625,1970,Orange,060,0590,71,590,ORANGE,California,71,590,0,060,0590,2907,-1985465.16982208,-196678.06732431,G0600590,0600590,2067710610.3099997,234799.82555,06,059,06059,0360,06,059,NA,Orange County,"Anaheim-Santa Ana-Garden Grove, CA SMSA",06059,costa mesa,costa mesa,06059,6059,california,all
40,G060690000,california,060,santa ana city,1970,G0602570,1970,Orange,060,0590,71,590,ORANGE,California,71,590,0,060,0590,2907,-1985465.16982208,-196678.06732431,G0600590,0600590,2067710610.3099997,234799.82555,06,059,06059,0360,06,059,NA,Orange County,"Anaheim-Santa Ana-Garden Grove, CA SMSA",06059,santa ana,santa ana,06059,6059,california,all
57,G120240000,florida,120,fort lauderdale city,1970,G1200645,1970,Broward,120,0110,43,110,BROWARD,Florida,43,110,0,120,0110,285,1557532.53188959,-1134960.10229555,G1200110,1200110,3162680336.54,247973.270796,12,011,12011,2680,12,011,NA,Broward County,"Fort Lauderdale-Hollywood, FL SMSA",12011,fort lauderdale,fort lauderdale,12011,12011,florida,all
108,G250633050,massachusetts,250,southbridge cdp,1970,G2503980,1970,Worcester,250,0270,3,270,WORCESTER,Massachusetts,3,270,0,250,0270,2769,1950999.81136075,792018.32708354,G2500270,2500270,4089604891.410001,356649.792945,25,027,25027,2600,25,027,NA,Worcester County (pt.),"Fitchburg-Leominster, MA SMSA",25027,southbridge,southbridge,25027,25027,massachusetts,all
109,G250760300,massachusetts,250,westfield city,1970,G2504690,1970,Hampden,250,0130,3,130,HAMPDEN,Massachusetts,3,130,0,250,0130,2762,1899443.23275073,753974.26481759,G2500130,2500130,1642345438.34,274455.068032,25,013,25013,8000,25,013,NA,"Hampden County, MA (pt.)","Springfield-Chicopee-Holyoke, MA-CT SMSA",25013,westfield,westfield,25013,25013,massachusetts,all
146,G360731760,new york,360,tarrytown village,1970,G3603575,1970,Suffolk,360,1030,13,1030,SUFFOLK,New York,13,1030,0,360,1030,2505,1915374.55605398,612931.05087421,G3601030,3601030,2416189172.24,1329778.20942,36,103,36103,5600,36,103,NA,Suffolk County,"New York, NY SMSA",36103,tarrytown,tarrytown,36119,36119,new york,all
151,G370314000,north carolina,370,high point city,1970,G3701195,1970,Forsyth,370,0670,47,670,FORSYTH,North Carolina,47,670,0,370,0670,2543,1397698.58746533,-37401.93012973,G3700670,3700670,1069462000.62,149781.462823,37,067,37067,3120,37,067,NA,Forsyth County,"Greensboro--Winston-Salem--High Point, NC SMSA",37067,high point,high point,37081,37081,north carolina,all
158,G390259140,ohio,390,fairborn city,1970,G3901330,1970,Greene,390,0570,24,570,GREENE,Ohio,24,570,0,390,0570,1213,1026419.64913392,311105.5638624,G3900570,3900570,1077986175.16,137720.069385,39,057,39057,2000,39,057,NA,Greene County,"Dayton, OH SMSA",39057,fairborn,fairborn,39057,39057,ohio,all
178,G420197840,pennsylvania,420,doylestown borough,1970,G4202900,1970,Chester,420,0290,14,290,CHESTER,Pennsylvania,14,290,0,420,0290,1477,1701418.13453151,459142.37296176,G4200290,4200290,1967886858.22,250279.437033,42,029,42029,6160,42,029,NA,"Chester  County, PA","Philadelphia, PA-NJ SMSA",42029,doylestown,doylestown,42017,42017,pennsylvania,all
