citypermid,adprice
1,0.9806603193
2,0.6663461328
4,1.307547092
6,0.9806603193
7,1.212749958
9,2.288207531
10,0.6466016173
11,2.02125001
12,0.7874999642
15,7.65523243
16,1.082812428
17,1.212749958
18,2.425499916
20,1.2970606389000001
22,0.9699024558
23,2.252249956
24,2.8288820985000003
25,3.309269905
26,1.6344338655000001
27,1.778154492
29,1.683466971
34,1.732500076
36,3.465000153
37,1.797877192
38,2.8875000475
41,1.454853773
42,2.0999999049999998
43,2.8288822175
44,3.013043404
45,3.674999952
46,1.985156178
47,1.616504073
50,0.6369485259
54,1.199423075
56,1.634433866
57,3.331730604
58,1.939804912
62,6.467131772666667
64,3.900999546
65,1.454853773
66,2.252249956
67,2.252249956
68,3.291749954
69,2.547794104
70,1.924999952
71,1.299374938
72,1.9505627755
73,2.01453495
74,1.131552815
76,2.078999996
77,4.947814703
79,1.039499998
80,1.385999918
84,1.574999928
85,3.223255634
86,2.8875000479999997
88,3.674999952
89,0.6369485259
90,3.1147738694999996
91,5.5
92,5.582499981
94,3.811500072
95,0.8662499189
96,2.7236867545
97,0.6466016173
99,2.289017439
101,0.9239999652
103,1.417500019
104,1.417500019
105,2.694999933
106,1.385999918
107,1.4548536535
108,1.347499967
110,3.071357727
111,1.889999866
112,1.131552815
113,1.066153765
114,0.9328845739
115,1.65606606
116,2.586406469
118,1.732500076
119,1.208720922
123,1.039499998
126,1.102499962
127,6.300000191
128,2.980644941
129,4.969186783
130,2.335955143
131,3.501861811
132,5.588709354
133,3.539515734
134,2.425499916
136,0.7996153235
137,1.485000014
138,1.454853773
139,1.616504073
141,2.835000038
142,1.144103765
143,1.454853773
144,2.3099999429999998
145,1.985156178
146,1.535678864
147,1.905750036
148,23.665755641444445
149,17.32499886
150,1.3062499760000001
152,1.961320639
153,2.2118973735
155,3.766304255
157,1.293203235
158,0.9699024558
159,1.443749905
161,2.598749876
162,1.939804912
163,1.924999952
164,0.6875
165,1.225000024
166,0.8410194516
167,0.9328845739
168,0.8662500381
169,1.868382454
170,2.2275002
171,1.939804912
172,0.9859756231
173,1.126829267
174,3.071357727
175,3.464999676
176,1.75
179,3.498623729
180,2.424756289
183,1.131552815
185,1.399999976
187,0.5657764225999999
188,1.0105009973
189,3.609375
190,1.59848934375
191,2.1822806005
192,1.293203235
193,2.132307529
194,1.2932032644
195,0.8621355096333333
196,2.615094185
198,1.485000014
199,3.609375
200,0.9699024558
201,1.559250116
202,1.332692266
203,1.868382454
204,1.131552815
206,1.992375016
209,1.307547092
210,1.591071486
213,5.657764435
215,5.87562501425
216,0.9761779008
219,1.299374938
220,1.732499838
221,2.0724024180000002
223,2.078999996
224,2.1239272954999997
225,2.425499916
226,1.624218822
227,0.9806603193
229,1.601977587
230,1.634433866
231,1.862903118
232,1.144103765
233,1.102499962
234,2.274999857
236,2.909707546
238,1.144103765
239,1.624218822
240,0.9899999499
242,1.551492453
243,1.641315818
244,3.4650000335
245,0.8917279243
246,0.8662500381
247,1.144103765
248,1.199423075
249,0.1574999988
250,1.131552815
251,1.519737005
252,1.985156178
253,3.065192223
255,1.212749958
256,1.634433866
258,1.649999857
259,1.599230647
260,2.165624857
261,1.307547092
262,1.131552815
263,3.0651921035000003
264,17.723276135
265,1.259999871
266,4.284677029
268,2.263105631
269,1.271559596
270,3.937499762
271,0.9806603193
273,1.172368526
274,2.425499916
275,0.875
276,11.068750380000001
277,1.513834953
278,1.477325678
279,1.470990539
281,1.458947301
282,1.385999918
284,0.8983333707
288,3.1624999049999998
289,1.347499967
290,3.107499838
291,1.634433866
293,0.9699024558
294,1.144103765
295,1.212749958
296,0.8082520366
297,1.905750036
298,0.9699024558
299,1.68078351
300,1.698529482
301,9.0234375
302,0.7874999642
303,2.598750114
304,13.9019351
305,2.9036121965
309,1.810074568
310,4.2410154344999995
315,1.212749958
318,6.5625
319,11.659222443333334
320,1.3125
322,1.039499998
324,4.671910286
325,12.71874905
326,1.212749958
327,0.9806603193
328,0.7874999642
329,1.199423075
330,3.1500000950000002
331,13.474999905
332,15.33984375
336,1.307547092
337,0.9699024558
338,1.559250116
339,19.967753093333332
341,1.066153765
342,1.69024384
343,1.212749958
346,2.078999996
347,1.293203235
348,3.674999952
349,1.307547092
350,3.165144444
351,3.998077154
353,1.237499952
355,7.329808235
356,1.574999928
357,2.078999996
359,2.263105631
360,3.465000153
361,2.263105631
363,0.9449999332
364,5.334463596
365,1.924999952
367,2.586406469
369,2.70703125
372,15.216016295
375,1.559250116
376,7.1515984535
377,5.743614196999999
378,0.6663461328
379,2.396010637
380,2.332211733
381,1.199423075
382,8.276880026
383,1.039499998
384,2.510869741
386,9.4614059945
387,8.299401283
388,5.4140622615
389,1.332692266
394,4.849512577
395,0.8662500381
396,3.879609823
398,3.922641277
401,0.9328845739
402,1.307547092
403,1.307547092
404,7.174999714
405,2.208088398
406,2.421773911
408,3.1500000950000002
410,1.385999918
411,1.361250043
412,1.292910457
413,1.332692266
414,2.805000067
415,1.551492453
416,3.0713577274999997
417,2.253658533
418,1.470990539
419,1.878614545
420,1.732499838
423,0.9328845739
424,1.154999971
426,1.007267475
427,1.082812428
429,1.905750036
431,1.907339454
432,2.398846149
434,3.725806475
436,1.732500076
437,14.6723687675
438,16.736359835000002
439,13.47499943
440,5.991504073
442,4.150781155
444,9.842884541
445,4.8516750335
446,1.783455849
447,2.263105631
450,14.772085826666666
451,2.909707546
456,3.272500038
457,1.259999871
458,19.474700489666667
464,7.27426815
465,1.259999871
466,1.783455849
467,2.625
468,1.470990539
469,1.624218822
470,2.186650515
471,1.385999918
472,1.778154492
473,8.219890833000001
474,2.586406469
475,5.738589525
477,13.9423475275
478,3.465000153
479,5.004999638
480,4.202910423
481,1.616504073
482,6.912499905000001
483,2.252249956
485,5.330769062
486,2.532115221
487,3.065192223
488,12.543300155
489,2.124763966
490,2.078999996
491,1.470990539
492,1.146507382
493,2.006052494
494,1.225000024
497,1.082812428
500,1.75
502,2.078999996
503,5.402418613
504,6.706451416
505,4.098386765
506,11.0730524065
507,3.9604350329999995
508,3.562271714
509,5.9428777695
510,1.732500076
511,3.6749999525
513,2.748056889
515,1.102499962
516,1.858979702
517,1.293203235
518,2.748056889
520,3.0298537015
521,8.7598319055
523,2.9749999049999998
524,3.8499999049999998
525,3.970312357
526,7.525000095
528,9.220565319
529,13.82313919
530,1.796666741
533,9.052302681666667
535,2.802573562
536,1.131552815
537,5.3582472805000005
538,1.732500076
539,15.88178444
541,4.23912704
546,5.075000286
547,13.17421818
548,8.486646175499999
550,1.8046875
552,9.856328646
553,5.57354641
554,6.789317131
555,2.424756289
556,8.580778122
558,1.810074568
560,11.4376673705
561,2.425499916
566,1.634433866
567,2.165624857
569,2.1656250950000002
570,1.465961456
574,1.066153765
576,1.868382454
578,1.778154492
579,2.612499952
580,2.293014765
586,1.924999952
587,1.487499952
588,1.332692266
589,1.7707520125
590,8.082520485
592,5.330769062
594,2.748056889
597,3.169216275
598,1.299374938
599,1.283333421
601,3.9375
603,1.465961456
604,7.2742683889999995
605,2.252249956
606,12.106626035
609,2.702064276
610,3.5
611,1.599230647
612,10.5
613,1.131552815
615,3.8499999049999998
617,3.248437643
618,3.75722909
619,1.292910457
620,3.674999952
621,1.154999971
622,1.634433866
623,1.102499962
624,2.124763966
625,2.70703125
626,1.293203235
627,3.248437643
629,1.293203235
632,3.674999952
633,2.586406469
634,1.2529765965
635,1.319999933
636,1.131552815
637,1.259999871
638,1.039499998
642,0.8082520366
643,1.559250116
644,1.732500076
645,1.778154492
646,2.094230652
647,0.7757462263
648,2.3099999429999998
650,1.131552815
651,5.599999905
652,1.682038903
654,2.778537512
655,4.677750111
657,0.9699024558
658,1.485000014
660,1.144103765
662,8.621966602
663,1.319999933
664,1.591071486
665,1.293203235
667,7.165827593666666
670,1.131552815
672,30.713578225
674,1.385999918
675,0.9745312929
677,0.9699024558
678,1.082812428
680,1.154999971
681,2.263105631
682,0.9780242443
683,1.194827557
684,1.985156178
686,2.068656683
687,4.0290696619999995
688,1.144103765
689,1.146507382
690,2.078999996
692,0.9806603193
694,1.417500019
695,1.026666641
696,5.439767519666667
697,1.066153765
698,2.586406469
700,3.5
701,2.451650858
702,4.531153679
703,1.039499998
704,2.665384531
705,1.422201395
706,1.454853773
707,2.3376450540000002
708,1.144103765
709,0.9806603193
710,1.513834953
711,1.212749958
713,1.939804912
715,1.131552815
716,1.039499998
717,1.732500076
718,2.117500067
719,0.9699024558
721,1.797877192
723,1.155000091
725,5.036337376
727,2.519999743
728,1.946629405
729,1.624218822
730,0.9699024558
731,1.293203235
734,1.212749958
735,4.526211262
736,1.307547092
738,1.634433866
743,3.674999952
744,4.470967293
745,1.732499838
