GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,ENUMDISTA,CMSA,SMSAA,URB_AREAA,BLCK_GRPA,ANXTERRA,URBRURALA,CDA,AREANAME,CENCNTY,CBD,SEA,CBC001
"G0100005","1970","Alabama","01",,,"Abbeville","0005",,,,,,,,,,"Abbeville",,,,2996
"G0100010","1970","Alabama","01",,,"Adamsville","0010",,,,,,,,,,"Adamsville",,,,2412
"G0100015","1970","Alabama","01",,,"Addison","0015",,,,,,,,,,"Addison",,,,692
"G0100020","1970","Alabama","01",,,"Akron","0020",,,,,,,,,,"Akron",,,,535
"G0100025","1970","Alabama","01",,,"Alabaster","0025",,,,,,,,,,"Alabaster",,,,2642
"G0100030","1970","Alabama","01",,,"Albertville","0030",,,,,,,,,,"Albertville",,,,9963
"G0100035","1970","Alabama","01",,,"Alexander City","0035",,,,,,,,,,"Alexander City",,,,12358
"G0100040","1970","Alabama","01",,,"Aliceville","0040",,,,,,,,,,"Aliceville",,,,2851
"G0100045","1970","Alabama","01",,,"Allgood","0045",,,,,,,,,,"Allgood",,,,272
"G0100050","1970","Alabama","01",,,"Altoona","0050",,,,,,,,,,"Altoona",,,,781
"G0100055","1970","Alabama","01",,,"Andalusia","0055",,,,,,,,,,"Andalusia",,,,10092
"G0100060","1970","Alabama","01",,,"Anniston","0060",,,,,,,,,,"Anniston",,,,31533
"G0100062","1970","Alabama","01",,,"Anniston Northwest (U)","0062",,,,,,,,,,"Anniston Northwest (U)",,,,6609
"G0100065","1970","Alabama","01",,,"Arab","0065",,,,,,,,,,"Arab",,,,4399
"G0100070","1970","Alabama","01",,,"Ardmore","0070",,,,,,,,,,"Ardmore",,,,761
"G0100075","1970","Alabama","01",,,"Ariton","0075",,,,,,,,,,"Ariton",,,,643
"G0100077","1970","Alabama","01",,,"Arley","0077",,,,,,,,,,"Arley",,,,164
"G0100080","1970","Alabama","01",,,"Ashford","0080",,,,,,,,,,"Ashford",,,,1980
"G0100085","1970","Alabama","01",,,"Ashland","0085",,,,,,,,,,"Ashland",,,,1921
"G0100090","1970","Alabama","01",,,"Ashville","0090",,,,,,,,,,"Ashville",,,,986
"G0100095","1970","Alabama","01",,,"Athens","0095",,,,,,,,,,"Athens",,,,14360
"G0100100","1970","Alabama","01",,,"Atmore","0100",,,,,,,,,,"Atmore",,,,8293
"G0100105","1970","Alabama","01",,,"Attalla","0105",,,,,,,,,,"Attalla",,,,7510
"G0100110","1970","Alabama","01",,,"Auburn","0110",,,,,,,,,,"Auburn",,,,22767
"G0100115","1970","Alabama","01",,,"Autaugaville","0115",,,,,,,,,,"Autaugaville",,,,870
"G0100120","1970","Alabama","01",,,"Avon","0120",,,,,,,,,,"Avon",,,,374
"G0100125","1970","Alabama","01",,,"Babbie","0125",,,,,,,,,,"Babbie",,,,82
"G0100130","1970","Alabama","01",,,"Banks","0130",,,,,,,,,,"Banks",,,,170
"G0100135","1970","Alabama","01",,,"Bay Minette","0135",,,,,,,,,,"Bay Minette",,,,6727
"G0100140","1970","Alabama","01",,,"Bayou La Batre","0140",,,,,,,,,,"Bayou La Batre",,,,2664
"G0100150","1970","Alabama","01",,,"Bear Creek","0150",,,,,,,,,,"Bear Creek",,,,336
"G0100155","1970","Alabama","01",,,"Beatrice","0155",,,,,,,,,,"Beatrice",,,,455
"G0100160","1970","Alabama","01",,,"Beaverton","0160",,,,,,,,,,"Beaverton",,,,265
"G0100167","1970","Alabama","01",,,"Benton","0167",,,,,,,,,,"Benton",,,,115
"G0100170","1970","Alabama","01",,,"Berry","0170",,,,,,,,,,"Berry",,,,679
"G0100175","1970","Alabama","01",,,"Bessemer","0175",,,,,,,,,,"Bessemer",,,,33428
"G0100180","1970","Alabama","01",,,"Billingsley","0180",,,,,,,,,,"Billingsley",,,,110
"G0100185","1970","Alabama","01",,,"Birmingham","0185",,,,,,,,,,"Birmingham",,,,300910
"G0100190","1970","Alabama","01",,,"Black","0190",,,,,,,,,,"Black",,,,171
"G0100195","1970","Alabama","01",,,"Blountsville","0195",,,,,,,,,,"Blountsville",,,,1254
"G0100200","1970","Alabama","01",,,"Blue Mountain","0200",,,,,,,,,,"Blue Mountain",,,,446
"G0100205","1970","Alabama","01",,,"Blue Springs","0205",,,,,,,,,,"Blue Springs",,,,137
"G0100207","1970","Alabama","01",,,"Bluff Park (U)","0207",,,,,,,,,,"Bluff Park (U)",,,,12372
"G0100210","1970","Alabama","01",,,"Boaz","0210",,,,,,,,,,"Boaz",,,,5621
"G0100215","1970","Alabama","01",,,"Boligee","0215",,,,,,,,,,"Boligee",,,,225
"G0100220","1970","Alabama","01",,,"Bon Air","0220",,,,,,,,,,"Bon Air",,,,214
"G0100233","1970","Alabama","01",,,"Branchville","0233",,,,,,,,,,"Branchville",,,,225
"G0100235","1970","Alabama","01",,,"Brantley","0235",,,,,,,,,,"Brantley",,,,1066
"G0100240","1970","Alabama","01",,,"Brent","0240",,,,,,,,,,"Brent",,,,2093
"G0100245","1970","Alabama","01",,,"Brewton","0245",,,,,,,,,,"Brewton",,,,6747
"G0100250","1970","Alabama","01",,,"Bridgeport","0250",,,,,,,,,,"Bridgeport",,,,2908
"G0100255","1970","Alabama","01",,,"Brighton","0255",,,,,,,,,,"Brighton",,,,2277
"G0100260","1970","Alabama","01",,,"Brilliant","0260",,,,,,,,,,"Brilliant",,,,726
"G0100265","1970","Alabama","01",,,"Brookside","0265",,,,,,,,,,"Brookside",,,,990
"G0100270","1970","Alabama","01",,,"Brownville","0270",,,,,,,,,,"Brownville",,,,501
"G0100275","1970","Alabama","01",,,"Brundidge","0275",,,,,,,,,,"Brundidge",,,,2709
"G0100280","1970","Alabama","01",,,"Butler","0280",,,,,,,,,,"Butler",,,,2064
"G0100285","1970","Alabama","01",,,"Calera","0285",,,,,,,,,,"Calera",,,,1655
"G0100290","1970","Alabama","01",,,"Camden","0290",,,,,,,,,,"Camden",,,,1742
"G0100295","1970","Alabama","01",,,"Camp Hill","0295",,,,,,,,,,"Camp Hill",,,,1554
