STATE,NHGISST,PLACE,NAME,NHGISPLACE,YEAR,GISJOIN,DECADE,NHGISNAM,NHGISST_2,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE_2,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN_2,GISJOIN2,SHAPE_AREA,SHAPE_LEN,statefips,countyfips,fips,smsacode,statefips_,countyfi_1,entityfips,name_2,namemsa,fips_2
Washington,"530",Bonney Lake city,Bonney Lake,G530071700,"1970",G5300105,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",Buckley city,Buckley,G530085700,"1970",G5300130,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",Carbonado town,Carbonado,G530099700,"1970",G5300150,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",DuPont city,DuPont,G530189650,"1970",G5300330,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",Eatonville town,Eatonville,G530202600,"1970",G5300360,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",Fife city,Fife,G530237950,"1970",G5300450,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",Fircrest city,Fircrest,G530239700,"1970",G5300455,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",Fort Lewis CDP,Fort Lewis,G530249150,"1970",G5300467,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",Gig Harbor city,Gig Harbor,G530267350,"1970",G5300490,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",Lakes District,Lakes District,G530380380,"1970",G5300662,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",McChord AFB CDP,McChord AFB,G530411550,"1970",G5300717,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",Milton city,Milton,G530460200,"1970",G5300785,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",Orting city,Orting,G530520050,"1970",G5300940,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
Washington,"530",Parkland CDP,Parkland,G530533350,"1970",G5300957,"1970",Pierce,"530","0530","73","530",PIERCE,Washington,"73","530",0.00000,"530","0530",1836.00000000,-1968643.90515325,1335497.47616507,G5300530,"5300530",4378127862.76000022888,692844.93980800000,"53","053","53053","8200","53","053",,Pierce County,"Tacoma, WA SMSA","53053"
